#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.058   -102.170   -117.982    -20.736    182.482    102.737
      0.200   -102.647    -83.479   -107.169    -11.030    191.327    113.509
      0.300   -103.129    -63.902    -95.205      1.380    200.215    125.774
      0.400   -102.187    -43.460    -81.930     17.466    208.627    139.733
      0.500    -99.387    -22.254    -67.172     38.533    215.495    155.431
      0.600    -94.155     -0.542    -50.780     66.109    218.743    172.405
      0.700    -85.790     21.131    -32.713    101.179    214.730    188.927
      0.800    -73.634     41.800    -13.215    141.953    198.635    201.032
      0.900    -57.483     60.143      7.002    181.065    168.225    203.316
      1.000    -38.009     75.030     26.828    208.411    129.517    193.211
      1.100    -16.534     86.108     45.295    221.092     92.051    176.128
      1.200      5.669     93.756     61.969    222.973     60.912    157.345
      1.300     27.756     98.633     76.820    218.752     36.618    139.675
      1.400     49.272    101.362     90.004    211.568     17.964    124.015
      1.500     70.007    102.439    101.725    203.147      3.575    110.407
      1.600     89.883    102.235    112.176    194.371     -7.659     98.613
      1.700    108.885    101.024    121.524    185.673    -16.553     88.346
      1.800    127.032     99.012    129.909    177.255    -23.690     79.343
      1.900    144.355     96.353    137.445    169.203    -29.487     71.384
      2.000    160.892     93.167    144.229    161.540    -34.244     64.291
      2.100    176.682     89.545    150.340    154.262    -38.184     57.922
      2.200    191.763     85.563    155.844    147.350    -41.469     52.162
      2.300    206.169     81.278    160.798    140.778    -44.224     46.919
      2.400    219.934     76.740    165.250    134.521    -46.545     42.119
      2.500    233.088     71.987    169.241    128.551    -48.504     37.701
      2.600    245.657     67.054    172.806    122.844    -50.162     33.614
      2.700    257.668     61.968    175.978    117.376    -51.564     29.816
      2.800    269.144     56.752    178.782    112.126    -52.747     26.273
      2.900    280.104     51.428    181.244    107.076    -53.741     22.955
      3.000    290.568     46.012    183.383    102.207    -54.573     19.838
      3.100    300.553     40.520    185.220     97.504    -55.261     16.899
      3.200    310.076     34.966    186.771     92.954    -55.824     14.121
      3.300    319.151     29.361    188.052     88.542    -56.275     11.488
      3.400    327.791     23.716    189.075     84.258    -56.626      8.986
      3.500    336.008     18.040    189.855     80.091    -56.888      6.602
      3.600    343.814     12.342    190.401     76.031    -57.070      4.327
      3.700    351.220      6.630    190.725     72.070    -57.178      2.151
      3.800    358.233      0.910    190.836     68.200    -57.219      0.065
      3.900    364.864     -4.811    190.742     64.413    -57.199     -1.937
      4.000    371.119    -10.527    190.452     60.703    -57.121     -3.862
      4.100    377.008    -16.232    189.973     57.064    -56.991     -5.717
      4.200    382.535    -21.922    189.312     53.489    -56.812     -7.505
      4.300    387.708    -27.592    188.475     49.974    -56.586     -9.233
      4.400    392.533    -33.237    187.468     46.513    -56.316    -10.903
      4.500    397.014    -38.853    186.297     43.102    -56.004    -12.521
      4.600    401.155    -44.436    184.967     39.736    -55.653    -14.090
      4.700    404.963    -49.982    183.482     36.412    -55.264    -15.612
      4.800    408.440    -55.487    181.846     33.125    -54.838    -17.091
      4.900    411.590    -60.948    180.065     29.872    -54.376    -18.530
      5.000    414.416    -66.360    178.142     26.649    -53.879    -19.931
      5.100    416.921    -71.722    176.081     23.453    -53.348    -21.295
      5.200    419.108    -77.028    173.885     20.281    -52.784    -22.626
      5.300    420.978    -82.277    171.557     17.129    -52.186    -23.925
      5.400    422.534    -87.464    169.102     13.995    -51.555    -25.193
      5.500    423.778    -92.586    166.520     10.875    -50.892    -26.433
      5.600    424.710    -97.641    163.816      7.767    -50.195    -27.645
      5.700    425.332   -102.624    160.992      4.668    -49.465    -28.832
      5.800    425.644   -107.532    158.051      1.575    -48.701    -29.994
      5.900    425.647   -112.362    154.995     -1.514    -47.903    -31.133
